機構名稱,機構代碼,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
邦尼國際企業有限公司附設高雄市私立邦尼顧居家長照機構,1V1500043,高雄市三民區達仁里吉林街50號1樓,喘息服務,908558080,bunnygoodhelp@gmail.com,莊子賢,20240701,20261231,20240630 14:55:50
青松健康股份有限公司附設私立大雅綜合長照機構,4R0800004,臺中市大雅區大雅里14鄰中清東路198號2樓,喘息服務,04-25602415,vip220@ms14.hinet.net,陳謀,20250101,20271231,20250210 11:29:54
金永國際租賃有限公司,BA0100019,臺北市中山區長春路172號8樓之11,社區式交通接送服務(BD03),02-29749738,e121051940@yahoo.com.tw,方姵人,20220101,20241231,20240423 09:04:28
佳德健康事業有限公司附設私立幫幫忙居家長照機構,1V0800044,臺中市南屯區田心里008鄰文心路一段73號3樓之3,居家服務,0910-000815,Jiade885885@gmail.com,張文瑞,20250101,20271231,20250109 11:37:41
佳德健康事業有限公司附設私立幫幫忙居家長照機構,1V0800044,臺中市南屯區田心里008鄰文心路一段73號3樓之3,喘息服務,0910-000815,Jiade885885@gmail.com,張文瑞,20220101,20241231,20231229 11:09:11
潤康長期照護有限公司附設新北市私立潤康居家長照機構,1V0200034,新北市中和區景平路431巷68號1樓,喘息服務,0911-768-767,ringcrown1491@gmail.com,施凱鈞,20220101,20241231,20221230 19:25:09
潤康長期照護有限公司附設新北市私立潤康居家長照機構,1V0200034,新北市中和區景平路431巷68號1樓,居家服務,0911-768-767,ringcrown1491@gmail.com,施凱鈞,20250101,20271231,20241226 11:35:32
臺中市私立疼惜咱ㄟ厝社區長照機構,2X0800042,臺中市南屯區文心里003鄰大墩八街26號2樓,家庭托顧服務,04-24715178,a3201255@ms57.hinet.net,陳淑絹,20220101,20241231,20220110 14:56:52
哈佛有限公司附設新竹縣私立哈佛居家長照機構,1V0600007,新竹縣關西鎮西安里2鄰中正路121號,居家服務,03-5171520,nnn679650129@gmail.com,郭芝蕙,20220101,20221231,20220207 10:29:01
高雄市私立度假趣社區(家庭托顧)長照機構,2X1500032,高雄市前鎮區廣東三街8號,家庭托顧服務,920420222,wwaa1050913@gmail.com,吳孟純,20201119,20240630,20240115 15:22:12
高雄市私立小美好居家長照機構,1X1500066,高雄市鳥松區澄新一街116號1樓,居家服務,(07)7353857,lb7353857@gmail.com,劉貞伶,20230101,20240630,20231218 16:39:56
愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,2R0400006,桃園市大園區橫峰里010鄰中正東路97-2號3樓,社區式交通接送服務(BD03),287-3224,jayg1981111108@gmail.com,廖思琪,20230301,20251231,20230426 16:10:49
愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,2R0400006,桃園市大園區橫峰里010鄰中正東路97-2號3樓,日間照顧服務,287-3224,jayg1981111108@gmail.com,廖思琪,20201118,20230228,20230426 13:48:39
臺中市私立南屯職人居家護理所,B10800111,臺中市南屯區溝墘里大正街68之15號B1,專業照護服務,0960-549778,phyllis1221@gmail.com,王珮珍,20250101,20271231,20250122 15:58:44
有限責任新北市溫馨照顧服務勞動合作社附設新北市私立達漾好居家長照機構,1R0200017,新北市中和區景新街347號9樓之8,居家服務,26618120,yestaiyan@yahoo.com,蔡培文,20250101,20271231,20241225 15:39:35
豐恩醫養股份有限公司附設臺南市私立常樂居家長照機構,1R1400021,臺南市東區大同里大同路一段173號5樓之5,居家服務,06-2143177,everjoycare06@gmail.com,蔡青純,20210120,20270228,20240328 15:53:39
台灣相信社會福利發展協會私立蘭社區長照機構,2R0800009,臺中市大里區仁德里20鄰至善路242號1樓,喘息服務,04-24963180,taiwan.believe1117@gmail.com,許昭雯,20220101,20241231,20230704 16:40:43
龍德診所,B20900116,彰化縣二林鎮斗苑路4段597.599號,居家失能個案家庭醫師照護服務,04─8956808,kkch228@hotmail.com,唐龍文,20220101,20231231,20220103 11:21:12
高雄市私立小美好居家長照機構,1X1500066,高雄市鳥松區澄新一街116號1樓,居家服務,(07)7353857,lb7353857@gmail.com,劉貞伶,20210401,20221231,20210501 16:40:47
愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,2R0400006,桃園市大園區橫峰里010鄰中正東路97-2號3樓,喘息服務,287-3224,jayg1981111108@gmail.com,廖思琪,20230301,20251231,20230426 13:51:41
臺南市私立竹子腳社區長照機構,2X1400016,臺南市新化區全興里竹子腳78-8號1樓,家庭托顧服務,06-5970503,care.service@msa.hinet.net,蔡宜蓁,20201116,20270228,20240305 11:41:11
臺中市私立舒絜居家長照機構,1X0800161,臺中市大里區新仁里023鄰公教街163巷1號1樓,居家服務,04-22708172,panda7132002@yahoo.com.tw,張雯絜,20220101,20241231,20230706 18:58:18
臺中市私立舒絜居家長照機構,1X0800161,臺中市大里區新仁里023鄰公教街163巷1號1樓,喘息服務,04-22708172,panda7132002@yahoo.com.tw,張雯絜,20220101,20241231,20230706 18:58:18
臺中市私立舒絜居家長照機構,1X0800161,臺中市大里區新仁里023鄰公教街163巷1號1樓,居家服務,04-22708172,panda7132002@yahoo.com.tw,張雯絜,20250101,20271231,20241203 15:58:05
泰康診所,B20200199,新北市土城區中央路二段238號,居家失能個案家庭醫師照護服務,02-22636123,Dannytanjxhome@gmail.com,陳悅明,20250101,20271231,20241225 10:41:16
青松健康股份有限公司附設私立大雅綜合長照機構,4R0800004,臺中市大雅區大雅里14鄰中清東路198號2樓,日間照顧服務,04-25602415,vip220@ms14.hinet.net,陳謀,20220101,20241231,20230712 08:53:08
財團法人台南市基督教青年會社會福利慈善事業基金會附設私立協進居家長照機構,1S1500017,高雄市路竹區社南里倫理街20號1樓,居家服務,931872675,ymca0986618675@gmail.com,蘇重仁,20210401,20221231,20210501 16:12:52
財團法人台南市基督教青年會社會福利慈善事業基金會附設私立協進居家長照機構,1S1500017,高雄市路竹區社南里倫理街20號1樓,居家服務,931872675,ymca0986618675@gmail.com,蘇重仁,20230101,20240630,20231218 16:26:33
社團法人彰化縣白玉功德會附設彰化縣私立左領秀家人社區長照機構,2R0900005,彰化縣員林市三愛里9鄰合作街243號1樓,日間照顧服務,04-8396881,neighbor1688@gmail.com,邱暉智,20220101,20261231,20231228 12:06:51
振興健康股份有限公司附設嘉義縣私立德興居家長照機構,1V1300005,嘉義縣中埔鄉和睦村23鄰中華路348號,居家服務,05-2398977,dexinghc@hotmail.com,李淑儀,20210201,20251231,20240104 08:49:00
金永國際租賃有限公司,BA0100019,臺北市中山區長春路172號8樓之11,交通接送服務(DA01),02-29749738,e121051940@yahoo.com.tw,方姵人,20250101,20271231,20250109 11:41:06
詠生五甘心物理治療所(前鎮區竹中里C),B41500038,高雄市前鎮區竹中里廣州三街351號,喘息服務,(07)726-1922 ,shishi9712@gmail.com,吳姵蓉,20240701,20261231,20240628 11:15:59
家多美長期照顧服務有限公司附設雲林縣私立家多美居家長照機構,1X1100006,雲林縣虎尾鎮墾地里虎興東十街129號1樓,喘息服務,05-6312727,doomay2727@gmail.com,黃珮欣,20240919,20261231,20240923 11:42:22
台灣長照科技有限公司附設私立利森居家長照機構,1V0800046,臺中市北區明德里025鄰忠明七街22號2樓,喘息服務,0906-559799,Lydia19911109@gmail.com,翟文英,20250101,20271231,20250102 08:38:56
好顧長照有限公司附設高雄市私立好顧居家長照機構,1V1500038,高雄市楠梓區慶昌里慶昌街83號1樓,居家服務,07-3601780,goodcare51788@gmail.com,湯宗穎,20210401,20221231,20210501 14:25:43
好顧長照有限公司附設高雄市私立好顧居家長照機構,1V1500038,高雄市楠梓區慶昌里慶昌街83號1樓,喘息服務,07-3601780,goodcare51788@gmail.com,湯宗穎,20240701,20261231,20240630 11:06:23
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,專業照護服務,2425-5717,aoueshin@gmail.com,沈哲宇,20250203,20270330,20250204 09:15:16
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,居家服務,2425-5717,aoueshin@gmail.com,沈哲宇,20220221,20241231,20220301 15:06:39
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,喘息服務,2425-5717,aoueshin@gmail.com,沈哲宇,20250203,20270330,20250204 09:15:16
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,喘息服務,2425-5717,aoueshin@gmail.com,沈哲宇,20250101,20271231,20241217 10:35:56
衛生福利部臺北醫院附設居家護理所,B10200098,新北市新莊區長青街6號2樓,專業照護服務,02-22765566,nurse22008@tph.mohw.gov.tw,何美椒,20250101,20271231,20250204 13:44:03
衛生福利部臺北醫院附設居家護理所,B10200098,新北市新莊區長青街6號2樓,專業照護服務,02-22765566,nurse22008@tph.mohw.gov.tw,何美椒,20220101,20241231,20220328 16:55:18
黃志勳診所,B20200198,新北市五股區成泰路二段69號1樓,居家失能個案家庭醫師照護服務,02-22910978,hwang100@ms2.hinet.net,黃志勳,20220101,20241231,20220321 14:35:26
新北市私立均安居家長照機構,1X0200082,新北市鶯歌區二橋里二甲路30號,居家服務,905861860,A60729@yahoo.com.tw,吳培君,20220101,20241231,20220809 09:50:49
臺北市立聯合醫院附設中興住宿長照機構,3C0100001,臺北市大同區玉泉里鄭州路145號10樓B、C 區,喘息服務,02-25523234-1056,B1713@tpech.gov.tw,蔡景耀,20210322,20241231,20221229 20:48:45
康橋診所,B22100010,金門縣金湖鎮新湖里赤東路150號1樓,居家失能個案家庭醫師照護服務,082-330096,the1chen@hotmail.com,陳萬叡,20210201,20231231,20230103 10:46:20
詠安診所,B20200208,新北市瑞芳區明燈路三段79號1樓,居家失能個案家庭醫師照護服務,02-24960682,ann02190831@gmail.com,吳遵慶,20220101,20241231,20220406 15:49:06
美事居家長照有限公司附設新北市私立美事居家長照機構,1X0200085,新北市蘆洲區永康里永安南路二段328巷17弄8號1樓,喘息服務,8286-0162,meishih11003@gmail.com,陳庭宇,20250101,20271231,20241203 11:49:23
美事居家長照有限公司附設新北市私立美事居家長照機構,1X0200085,新北市蘆洲區永康里永安南路二段328巷17弄8號1樓,喘息服務,8286-0162,meishih11003@gmail.com,陳庭宇,20220101,20241231,20220222 10:31:32
樹里居家物理治療所,B40800043,臺中市南區樹德里樹德三巷31號1樓,專業照護服務(CC01),0981-712708,mic9575@gmail.com,柳青宜,20220101,20241231,20230802 17:19:14
臺北市政府社會局委託中華民國紅十字會台灣省分會經營管理臺北市中正社區長照機構,2R0100006,臺北市中正區建國里貴陽街一段60號3樓,日間照顧服務,02-23831958,rct03702883@gmail.com,董光式,20250101,20271231,20250113 13:51:37
臺北市政府社會局委託中華民國紅十字會台灣省分會經營管理臺北市中正社區長照機構,2R0100006,臺北市中正區建國里貴陽街一段60號3樓,日間照顧服務,02-23831958,rct03702883@gmail.com,董光式,20240101,20261231,20240102 14:56:54
潤康長期照護有限公司附設新北市私立潤康居家長照機構,1V0200034,新北市中和區景平路431巷68號1樓,喘息服務,0911-768-767,ringcrown1491@gmail.com,施凱鈞,20220101,20241231,20220315 10:36:46
雲林縣私立雷厝社區式服務類長期照顧服務機構,2X1100047,雲林縣麥寮鄉雷厝村3鄰雷厝42號,家庭托顧服務,0952-039877,taiwan.pica@msa.hinet.net,卓妍蘋,20201230,20221231,20210104 09:43:55
新北市私立百禾居家長照機構,1X0200073,新北市板橋區四川路一段149號3樓,居家服務,8226-3959,baihe8226@gmail.com,施忠瑜,20250101,20271231,20241218 14:20:04
丰瑄國際事業有限公司附設臺中市私立丰鼎居家長照機構,1V0800041,臺中市太平區新福里021鄰中山路四段135號4樓、137號4樓,喘息服務,04-23935189,fengding5888@gmail.com,蘇秀鑾,20250101,20271231,20241216 16:13:35
丰瑄國際事業有限公司附設臺中市私立丰鼎居家長照機構,1V0800041,臺中市太平區新福里021鄰中山路四段135號4樓、137號4樓,居家服務,04-23935189,fengding5888@gmail.com,蘇秀鑾,20250101,20271231,20241216 16:13:35
昀心居家物理治療所,B40200023,新北市中和區中正路65巷2弄8號2樓,專業照護服務,02-22476968,yunsing62@gmail.com,曾筠惠,20220101,20241231,20220207 10:41:03
青松健康股份有限公司附設高雄市私立加昌居家長照機構,1V1500036,高雄市楠梓區興昌里右昌街713號1樓,居家服務,3631606,jiachangmaster@qingsong.com.tw,陳謀,20210401,20221231,20210501 15:42:33
同鑫長照國際有限公司附設高雄市私立同鑫居家長照機構,1V1500042,高雄市三民區建國二路26號3樓之7,居家服務,07-2855718,a0921269333@gmail.com,洪國強,20240701,20261231,20240625 13:53:35
青松健康股份有限公司附設私立中清綜合長照機構,4V0800008,臺中市大雅區大雅里014鄰中清東路242號3樓,日間照顧服務,425601445,vip220@ms14.hinet.net,陳謀,20220101,20241231,20230620 17:10:09
大允有限公司附設新北市私立大允居家長照機構,1V0200028,新北市板橋區民族路276巷1弄13號1、2樓,居家服務,02-2273-6070,dayunlc2020@gmail.com,蔡培禎,20250101,20271231,20241220 10:29:57
有限責任臺南市韶安照顧服務勞動合作社附設臺南市私立韶安居家長照機構,1T1400004,臺南市安平區億載里永華11街17巷25號3樓之5,居家服務,06-2959639,b2959639@gmail.com,葛浩然,20210320,20270228,20240321 14:36:28
贏養食沛有限公司附設基隆市私立迎養社區式服務類長期照顧服務機構,2V0300002,基隆市仁愛區水錦里劉銘傳路1號5樓之2,日間照顧服務,02-24278989,yinyang202011@gmail.com,許睿慈,20231206,20260318,20250124 15:49:26
贏養食沛有限公司附設基隆市私立迎養社區式服務類長期照顧服務機構,2V0300002,基隆市仁愛區水錦里劉銘傳路1號5樓之2,社區式交通接送服務(BD03),02-24278989,yinyang202011@gmail.com,許睿慈,20231206,20260318,20250124 15:49:26
民安診所,B21900058,臺東縣關山鎮中華路58號,居家失能個案家庭醫師照護服務,89814568,nkm8448@yahoo.com.tw,倪廣茂,20230101,20241231,20240123 17:15:02
大溪診所,B21900069,臺東縣臺東市大順路23號,居家失能個案家庭醫師照護服務,511999,"jing5317@ms12.hinet,net",劉泓麟,20250101,20251231,20241227 16:42:34
同鑫長照國際有限公司附設高雄市私立同鑫居家長照機構,1V1500042,高雄市三民區建國二路26號3樓之7,喘息服務,07-2855718,a0921269333@gmail.com,洪國強,20240701,20261231,20240625 13:53:35
青松健康股份有限公司附設私立中清綜合長照機構,4V0800008,臺中市大雅區大雅里014鄰中清東路242號3樓,日間照顧服務,425601445,vip220@ms14.hinet.net,陳謀,20250101,20271231,20250122 11:51:00
臺中市私立大心居家長照機構,1X0800160,臺中市北屯區北京里018鄰國豐街198號1樓,喘息服務,04-22350719,bighearts888@gmail.com,黃義鈞,20220101,20241231,20230626 17:51:36
品安診所,B20200197,新北市板橋區忠孝路96號1樓,居家失能個案家庭醫師照護服務,02-29610618,fivemouth@gmail.com,呂品,20250101,20271231,20250110 16:51:48
沃恩有限公司附設新北市私立耆樂居家長照機構,1N0200002,新北市汐止區復興里新台五路一段79號7樓B室,居家服務,02-86983877,w86983877@gmail.com,林顯寬,20220101,20241231,20220318 11:30:45
沃恩有限公司附設新北市私立耆樂居家長照機構,1N0200002,新北市汐止區復興里新台五路一段79號7樓B室,喘息服務,02-86983877,w86983877@gmail.com,林顯寬,20220101,20241231,20220318 11:30:36
弘一診所,B20200213,新北市蘆洲區重陽街82號1樓,居家失能個案家庭醫師照護服務,02-82860000,q82860000@gmail.com,甘禮維,20250101,20271231,20250113 16:34:00
八五樂活安平有限公司附設臺南市私立安平社區長照機構,2V1400002,臺南市安平區平通里育平七街60巷16號1樓,日間照顧服務,"06-2993118	",85anping@gmail.com,李少慈,20240301,20270228,20240303 13:20:52
高雄市萍舜社會福利發展協會附設私立宏平社區(日間照顧)長照機構,2N1500005,高雄市小港區山東里宏平路718號4樓,社區式交通接送服務(BD03),07-8060310,hongping2021@hotmail.com,呼哲丞,20210225,20261231,20240628 16:36:50
康博診所,B20300033,基隆市七堵區正明里南興路99號,居家失能個案家庭醫師照護服務,(02)24568800,kombo588@gmail.com,梁國強,20200911,20210331,20210305 13:58:15
財團法人臺中市私立家寶社會福利慈善事業基金會,BD0800078,臺中市沙鹿區鹿寮里032鄰光明街130號,交通接送服務(DA01),04-26623096分機12,t7141@ms.sltung.com.tw,童瑞龍,20250101,20271231,20241212 15:20:34
哈佛有限公司附設新竹縣私立哈佛居家長照機構,1V0600007,新竹縣關西鎮西安里2鄰中正路121號,居家服務,03-5171520,nnn679650129@gmail.com,郭芝蕙,20201028,20211231,20201029 15:09:39
高雄市私立小美好居家長照機構,1X1500066,高雄市鳥松區澄新一街116號1樓,喘息服務,(07)7353857,lb7353857@gmail.com,劉貞伶,20240701,20261231,20240630 16:20:26
高雄市私立小美好居家長照機構,1X1500066,高雄市鳥松區澄新一街116號1樓,喘息服務,(07)7353857,lb7353857@gmail.com,劉貞伶,20230101,20240630,20231230 15:59:35
愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,2R0400006,桃園市大園區橫峰里010鄰中正東路97-2號3樓,日間照顧服務,287-3224,jayg1981111108@gmail.com,廖思琪,20230301,20251231,20230426 13:50:48
臺中市私立豐原職人居家長照機構,1X0800156,臺中市豐原區陽明里016鄰中興路7號1樓,喘息服務,920288815,taimay945tc@gmail.com,洪彩琴,20220101,20241231,20230617 13:06:19
屏東縣私立佳賀居家長照機構,1X1600033,屏東縣潮州鎮光華里永安路28-8號1樓,居家服務,08-7886256,Elva587@yahoo.com.tw,潘明蘭,20230216,20231231,20230216 19:15:02
長榮長照社團法人附設屏東縣私立長榮綜合長照機構,4L1600001,屏東縣麟洛鄉田中村3鄰中華路143號,喘息服務,08-7261183,changjung1143@gmail.com,許擇良,20240101,20261231,20240102 10:23:33
長榮長照社團法人附設屏東縣私立長榮綜合長照機構,4L1600001,屏東縣麟洛鄉田中村3鄰中華路143號,小規模多機能服務,08-7261183,changjung1143@gmail.com,許擇良,20240101,20261231,20240102 10:28:49
青松健康股份有限公司附設私立中清綜合長照機構,4V0800008,臺中市大雅區大雅里014鄰中清東路242號3樓,居家服務,425601445,vip220@ms14.hinet.net,陳謀,20250101,20271231,20250122 11:52:59
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,專業照護服務,2425-5717,aoueshin@gmail.com,沈哲宇,20220221,20241231,20220301 15:12:39
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,專業照護服務(CC01),2425-5717,aoueshin@gmail.com,沈哲宇,20220203,20250202,20230802 17:19:14
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,居家服務,2425-5717,aoueshin@gmail.com,沈哲宇,20250101,20271231,20241217 10:35:35
新北市私立均安居家長照機構,1X0200082,新北市鶯歌區二橋里二甲路30號,喘息服務,905861860,A60729@yahoo.com.tw,吳培君,20220101,20241231,20220809 09:51:11
臺灣高齡有限公司臺中市私立福老居家長照機構,1V0800045,臺中市北區健行里003鄰忠明路200號2樓,喘息服務,04-23202608,p87919219@gmail.com,武允文,20250101,20271231,20241204 15:34:09
社團法人台灣立享長照服務教育發展協會附設雲林縣私立立享居家長照機構,1N1100007,雲林縣斗南鎮五福路14號,喘息服務,05-5965811,lixiYL630@gmail.com,朱柏霖,20240821,20261231,20240822 17:53:45
樂活健康協會附設宜蘭縣私立古亭社區式長照機構,2N1700005,宜蘭縣壯圍鄉古亭村永美路一段180號,社區式交通接送服務(BD03),03-9303060,wanjuchien1010@gmail.com,黃淑玲,20210204,20251231,20250204 11:54:40
社團法人高雄市樂齡照顧關懷協會附設私立永安樂齡社區(日間照顧)長照機構,2R1500013,高雄市永安區永安路28-1號3樓,社區式交通接送服務(BD03),07-691-5667,keca6915667@gmail.com,謝彥緯,20210201,20261231,20240701 17:27:44
社團法人高雄市樂齡照顧關懷協會附設私立永安樂齡社區(日間照顧)長照機構,2R1500013,高雄市永安區永安路28-1號3樓,日間照顧服務,07-691-5667,keca6915667@gmail.com,謝彥緯,20210201,20261231,20240701 17:27:44
松年健康事業有限公司附設高雄市私立樂天綜合長照機構,4V1500002,高雄市鳳山區興中里立志街336號3樓,喘息服務,(07)710-7533,lottedaycare@gmail.com,林真汶,20210224,20240630,20231230 17:56:45
松年健康事業有限公司附設高雄市私立樂天綜合長照機構,4V1500002,高雄市鳳山區興中里立志街336號3樓,日間照顧服務,(07)710-7533,lottedaycare@gmail.com,林真汶,20210224,20240630,20231230 17:56:45
松年健康事業有限公司附設高雄市私立樂天綜合長照機構,4V1500002,高雄市鳳山區興中里立志街336號3樓,喘息服務,(07)710-7533,lottedaycare@gmail.com,林真汶,20240701,20261231,20240627 16:54:51
雲林縣私立伯欣居家式長照機構,1X1100008,雲林縣麥寮鄉麥豐村中山路119號4樓,喘息服務,05-6931073,boxin2021@gmail.com,陳承宗,20240830,20261231,20240902 19:16:11
林田診所,B20800273,臺中市潭子區合作街53號1樓,居家失能個案家庭醫師照護服務,04-25380218,lincc_t@yahoo.com.tw,林紀久,20230101,20231231,20230306 13:15:19
大中小兒科診所,B20800278,臺中市大雅區雅潭路四段711號,居家失能個案家庭醫師照護服務,04-25607116,ajk101562@yahoo.com.tw,黃文村,20240701,20261231,20240508 10:38:28
社團法人屏東縣志願服務協會附設私立安家居家長照機構,1N1600014,屏東縣屏東市北勢里公德一街17號1樓,居家服務,08-7350180,t7860.ptc@msa.hinet.net,高錦鳳,20240101,20261231,20240102 10:39:18
臺中市私立疼惜咱ㄟ厝社區長照機構,2X0800042,臺中市南屯區文心里003鄰大墩八街26號2樓,家庭托顧服務,04-24715178,a3201255@ms57.hinet.net,陳淑絹,20250101,20271231,20250122 13:38:08
哈佛有限公司附設新竹縣私立哈佛居家長照機構,1V0600007,新竹縣關西鎮西安里2鄰中正路121號,喘息服務,03-5171520,nnn679650129@gmail.com,郭芝蕙,20230101,20241231,20230714 13:53:17
愛爾德長者事業股份有限公司附設桃園市私立喜大人晨寶社區長照機構,2R0400006,桃園市大園區橫峰里010鄰中正東路97-2號3樓,喘息服務,287-3224,jayg1981111108@gmail.com,廖思琪,20201118,20230228,20230426 13:48:39
有限責任新北市溫馨照顧服務勞動合作社附設新北市私立達漾好居家長照機構,1R0200017,新北市中和區景新街347號9樓之8,喘息服務,26618120,yestaiyan@yahoo.com,蔡培文,20250101,20271231,20241225 15:40:20
有限責任新北市溫馨照顧服務勞動合作社附設新北市私立達漾好居家長照機構,1R0200017,新北市中和區景新街347號9樓之8,喘息服務,26618120,yestaiyan@yahoo.com,蔡培文,20220101,20241231,20240131 10:27:54
臺中市私立豐原職人居家長照機構,1X0800156,臺中市豐原區陽明里016鄰中興路7號1樓,居家服務,920288815,taimay945tc@gmail.com,洪彩琴,20220101,20241231,20230617 13:06:19
瑞兆居服股份有限公司附設臺北市私立瑞兆居家長照機構,1R0100021,臺北市中山區中庄里民生東路2段119號3樓之3,居家服務,02-2537-3968,0965160250rghealth@gmail.com,徐立德,20201230,20231231,20211230 16:10:38
桃園市私立長青文殊居家長照機構,1X0400030,桃園市中壢區中建里延平路500號12樓之1 (B室),喘息服務,919113531,wenshu1091123@gmail.com,陳妤榛,20231220,20251231,20231229 00:11:43
福康診所,B20200218,新北市瑞芳區中正路82號,居家失能個案家庭醫師照護服務,02-24960189,b12201009@gmail.com,林啟民,20220101,20241231,20220323 11:34:11
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,居家服務,2425-5717,aoueshin@gmail.com,沈哲宇,20250203,20270330,20250204 09:15:16
柏達居家物理治療所,B41500037,高雄市岡山區成功路59巷13號1樓,專業照護服務,0952-111819,jessehouse2010@gmail.com,林新楊,20240701,20261231,20240626 14:16:02
新北市私立均安居家長照機構,1X0200082,新北市鶯歌區二橋里二甲路30號,居家服務,905861860,A60729@yahoo.com.tw,吳培君,20250101,20271231,20241223 14:45:56
臺灣高齡有限公司臺中市私立福老居家長照機構,1V0800045,臺中市北區健行里003鄰忠明路200號2樓,專業照護服務,04-23202608,p87919219@gmail.com,武允文,20250101,20271231,20241204 15:34:09
貓頭鷹語言治療所,B71500004,高雄市三民區九如一路530號1樓,專業照護服務,0912-161028,maflada@kimo.com,邱怡璇,20240701,20261231,20240626 11:38:51
財團法人謙信社會福利慈善事業基金會私立謙信復興社區長照機構,2S0800028,臺中市南區和平里006鄰復興路2段30之22號2樓,喘息服務,04-22361120,fsdaycaretw@gmail.com,顧哲銘,20220101,20241231,20230630 08:13:17
樂活健康協會附設宜蘭縣私立古亭社區式長照機構,2N1700005,宜蘭縣壯圍鄉古亭村永美路一段180號,喘息服務,03-9303060,wanjuchien1010@gmail.com,黃淑玲,20210204,20251231,20250108 07:55:03
長榮長照社團法人附設屏東縣私立長榮綜合長照機構,4L1600001,屏東縣麟洛鄉田中村3鄰中華路143號,喘息服務,08-7261183,changjung1143@gmail.com,許擇良,20240101,20261231,20240102 12:07:26
青松健康股份有限公司附設高雄市私立加昌居家長照機構,1V1500036,高雄市楠梓區興昌里右昌街713號1樓,喘息服務,3631606,jiachangmaster@qingsong.com.tw,陳謀,20210401,20240630,20231230 15:22:25
臺北市私立好運居家長照機構,1X0100028,臺北市內湖區葫洲里民權東路6段266號6樓,居家服務,02-2631-0670,haoyun26310670@gmail.com,汪新儀,20240101,20241016,20241014 11:56:36
好顧長照有限公司附設高雄市私立好顧居家長照機構,1V1500038,高雄市楠梓區慶昌里慶昌街83號1樓,喘息服務,07-3601780,goodcare51788@gmail.com,湯宗穎,20210401,20240630,20231229 15:51:57
好顧長照有限公司附設高雄市私立好顧居家長照機構,1V1500038,高雄市楠梓區慶昌里慶昌街83號1樓,居家服務,07-3601780,goodcare51788@gmail.com,湯宗穎,20240701,20261231,20240625 13:57:49
好顧長照有限公司附設高雄市私立好顧居家長照機構,1V1500038,高雄市楠梓區慶昌里慶昌街83號1樓,居家服務,07-3601780,goodcare51788@gmail.com,湯宗穎,20230101,20240630,20231218 14:23:29
居達健康事業有限公司附設基隆市私立居達居家長照機構,1V0300003,基隆市仁愛區花崗里仁一路133號12樓,居家服務,2425-5717,aoueshin@gmail.com,沈哲宇,20210820,20241231,20240201 09:00:19
臺灣高齡有限公司臺中市私立福老居家長照機構,1V0800045,臺中市北區健行里003鄰忠明路200號2樓,居家服務,04-23202608,p87919219@gmail.com,武允文,20250101,20271231,20241204 15:34:09
康健家庭醫學科診所,B20200207,新北市鶯歌區建國路231號,居家失能個案家庭醫師照護服務,02-26788558,kangjiangp@gmail.com,陳振芳,20220101,20241231,20220315 16:34:39
瑞兆居服股份有限公司附設臺北市私立瑞兆居家長照機構,1R0100021,臺北市中山區中庄里民生東路2段119號3樓之3,居家服務,02-2537-3968,0965160250rghealth@gmail.com,徐立德,20240101,20261231,20231229 10:22:06
屏東縣私立佳賀居家長照機構,1X1600033,屏東縣潮州鎮光華里永安路28-8號1樓,居家服務,08-7886256,Elva587@yahoo.com.tw,潘明蘭,20240101,20261231,20240102 18:55:18
長榮長照社團法人附設屏東縣私立長榮綜合長照機構,4L1600001,屏東縣麟洛鄉田中村3鄰中華路143號,喘息服務,08-7261183,changjung1143@gmail.com,許擇良,20210101,20231231,20220624 09:47:30
臺灣長照產業聯合協會(仁武站),BF1500181,高雄市仁武區考潭里綠園新村156號,喘息服務,929950809,da.wan3746110@yahoo.com.tw,吳明樹,20240701,20261231,20240628 11:41:52
長榮長照社團法人附設屏東縣私立長榮綜合長照機構,4L1600001,屏東縣麟洛鄉田中村3鄰中華路143號,居家服務,08-7261183,changjung1143@gmail.com,許擇良,20201201,20231231,20210108 14:23:56
